NAME,WIDTH,DIMENSION_NAMES,TYPE,DEFAULT_VALUE,,,,,,,,,,,,,,,,,,,,,
snowinfil_max,15,nhru,2,2,,,,,,,,,,,,,,,,,,,,,
soil2gw_max,4,nhru,2,0.005,,,,,,,,,,,,,,,,,,,,,
soil_moist_init,15,nhru,2,MOIST_INIT,,,,,,,,,,,,,,,,,,,,,
soil_moist_max,15,nhru,2,MOIST_MAX,,,,,,,,,,,,,,,,,,,,,
soil_rechr_init,15,nhru,2,RECHR_INIT,,,,,,,,,,,,,,,,,,,,,
soil_rechr_max,15,nhru,2,RECHR_MAX,,,,,,,,,,,,,,,,,,,,,
soil_type,15,nhru,1,SOIL_TYPE,,,,,,,,,,,,,,,,,,,,,
srain_intcp,0,nhru,2,0.1,,,,,,,,,,,,,,,,,,,,,
ssr2gw_exp,0,nssr,2,1,,,,,,,,,,,,,,,,,,,,,
ssr2gw_rate,0,nssr,2,0.1,,,,,,,,,,,,,,,,,,,,,
ssstor_init,0,nssr,2,0,,,,,,,,,,,,,,,,,,,,,
temp_units,0,one,1,1,,,,,,,,,,,,,,,,,,,,,
tmax_adj,15,nhru,2,TMAX_ADJ,,,,,,,,,,,,,,,,,,,,,
tmax_allrain,15,nmonths,2,6.00E+01,6.00E+01,6.00E+01,7.00E+01,7.00E+01,7.00E+01,7.00E+01,7.00E+01,7.00E+01,6.00E+01,6.00E+01,6.00E+01,,,,,,,,,,
tmax_allsnow,15,one,2,38,,,,,,,,,,,,,,,,,,,,,
tmax_index,15,nmonths,2,CALCULATED,,,,,,,,,,,,,,,,,,,,,
tmin_adj,15,nhru,2,TMIN_ADJ,,,,,,,,,,,,,,,,,,,,,
transp_beg,15,nhru,1,4,,,,,,,,,,,,,,,,,,,,,
transp_end,15,nhru,1,10,,,,,,,,,,,,,,,,,,,,,
transp_tmax,15,nhru,2,500,,,,,,,,,,,,,,,,,,,,,
tsta_elev,10,ntemp,2,CALCULATED,,,,,,,,,,,,,,,,,,,,,
tstorm_mo,15,nmonths,1,0,,,,,,,,,,,,,,,,,,,,,
wrain_intcp,0,nhru,2,0.1,,,,,,,,,,,,,,,,,,,,,
tosegment,0,nsegment,1,TOSEGMENT,,,,,,,,,,,,,,,,,,,,,
K_coef,0,nsegment,2,1,,,,,,,,,,,,,,,,,,,,,
x_coef,0,nsegment,2,0.2,,,,,,,,,,,,,,,,,,,,,
hru_segment,0,nhru,1,HRU_SEG,,,,,,,,,,,,,,,,,,,,,
dist_max,0,one,2,1.25E+06,,,,,,,,,,,,,,,,,,,,,
max_tsta,0,one,1,2,,,,,,,,,,,,,,,,,,,,,
monmin,0,nmonths,2,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,,,,,,,,,,
monmax,0,nmonths,2,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,
lapsemax_max,0,nmonths,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,
lapsemax_min,0,nmonths,2,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,,,,,,,,,,
lapsemin_max,0,nmonths,2,1,1,1,1,1,1,4,4,4,2,2,2,,,,,,,,,,
lapsemin_min,0,nmonths,2,-5,-5,-6,-6,-6,-6,-3,-3,-3,-3,-3,-3,,,,,,,,,,
tsta_xlong,0,ntemp,2,CALCULATED,,,,,,,,,,,,,,,,,,,,,
tsta_ylat,0,ntemp,2,CALCULATED,,,,,,,,,,,,,,,,,,,,,
hru_xlong,0,nhru,2,HRU_XLONG,,,,,,,,,,,,,,,,,,,,,
hru_ylat,0,nhru,2,HRU_YLAT,,,,,,,,,,,,,,,,,,,,,
maxday_prec,0,one,2,20,,,,,,,,,,,,,,,,,,,,,
max_psta,0,one,1,2,,,,,,,,,,,,,,,,,,,,,
rain_mon,0,nhru;nmonths,2,1,,,,,,,,,,,,,,,,,,,,,
snow_mon,0,nhru;nmonths,2,1,,,,,,,,,,,,,,,,,,,,,
